trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
298,False,"{'a': 0.01, 'e': 0.05077099650864815}",25,9,-3.551267115328555,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
299,False,"{'a': 0.01, 'e': 0.05026624470462351}",20,7,25.47893828439552,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.01, 'e': 0.04976650261621839}",25,11,15.919175076871058,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 0.01, 'e': 0.04927172076965394}",30,10,33.00678620663021,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.01, 'e': 0.048781850172383484}",25,17,9.504649365696803,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.01, 'e': 0.048296842308630045}",20,13,10.679700828844695,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.01, 'e': 0.04781664913495902}",20,9,19.740484951965428,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.01, 'e': 0.0473412230758852}",20,0,11.969096641974662,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
306,False,"{'a': 0.01, 'e': 0.04687051701951479}",20,6,-18.867381664829626,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
307,False,"{'a': 0.01, 'e': 0.04640448431322161}",20,2,22.627977919493894,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.01, 'e': 0.04594307875935819}",25,13,19.268847112432212,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.01, 'e': 0.045486254611000886}",30,8,23.48925227330905,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
310,False,"{'a': 0.01, 'e': 0.04503396656772953}",20,3,28.612437285296227,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.01, 'e': 0.044586169771441246}",30,0,31.83122850010303,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
312,False,"{'a': 0.01, 'e': 0.044142819802198134}",20,0,21.980566453812198,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
